Study,Time,Conc,SD,Matrix,Species,Route,Repeat,Dose,Chemical
1,0.5,0.669376396,,Plasma,Swine,IM,1,22.5,FLO
1,1,1.035,,Plasma,Swine,IM,1,22.5,FLO
1,2,1.45,,Plasma,Swine,IM,1,22.5,FLO
1,4,1.80122304,,Plasma,Swine,IM,1,22.5,FLO
1,6,1.960818778,,Plasma,Swine,IM,1,22.5,FLO
1,8,2.072576806,,Plasma,Swine,IM,1,22.5,FLO
1,12,1.99333553,,Plasma,Swine,IM,1,22.5,FLO
1,18,1.818623897,,Plasma,Swine,IM,1,22.5,FLO
1,24,1.65990699,,Plasma,Swine,IM,1,22.5,FLO
1,30,1.325863269,,Plasma,Swine,IM,1,22.5,FLO
1,36,1.087465671,,Plasma,Swine,IM,1,22.5,FLO
1,42,0.928778059,,Plasma,Swine,IM,1,22.5,FLO
1,48,0.754125014,,Plasma,Swine,IM,1,22.5,FLO
1,54,0.627251089,,Plasma,Swine,IM,1,22.5,FLO
1,60,0.516313303,,Plasma,Swine,IM,1,22.5,FLO
1,66,0.437277088,,Plasma,Swine,IM,1,22.5,FLO
1,72,0.294554909,,Plasma,Swine,IM,1,22.5,FLO
1,78,0.231425537,,Plasma,Swine,IM,1,22.5,FLO
1,84,0.200227031,,Plasma,Swine,IM,1,22.5,FLO
1,96,0.121776704,,Plasma,Swine,IM,1,22.5,FLO
1,120,0.044615328,,Plasma,Swine,IM,1,22.5,FLO
1,144,0.014,,Plasma,Swine,IM,1,22.5,FLO
1,0.5,0.573759566,,Plasma,Swine,IM,1,30,FLO
1,1,1.035966165,,Plasma,Swine,IM,1,30,FLO
1,2,1.466271193,,Plasma,Swine,IM,1,30,FLO
1,4,1.944677579,,Plasma,Swine,IM,1,30,FLO
1,6,2.072283862,,Plasma,Swine,IM,1,30,FLO
1,8,2.136262771,,Plasma,Swine,IM,1,30,FLO
1,12,2.120766048,,Plasma,Swine,IM,1,30,FLO
1,18,2.025793694,,Plasma,Swine,IM,1,30,FLO
1,24,1.803332235,,Plasma,Swine,IM,1,30,FLO
1,30,1.469317807,,Plasma,Swine,IM,1,30,FLO
1,36,1.31065949,,Plasma,Swine,IM,1,30,FLO
1,42,1.088139441,,Plasma,Swine,IM,1,30,FLO
1,48,0.961236222,,Plasma,Swine,IM,1,30,FLO
1,54,0.770647039,,Plasma,Swine,IM,1,30,FLO
1,60,0.659797136,,Plasma,Swine,IM,1,30,FLO
1,66,0.564795489,,Plasma,Swine,IM,1,30,FLO
1,72,0.485729979,,Plasma,Swine,IM,1,30,FLO
1,78,0.39078692,,Plasma,Swine,IM,1,30,FLO
1,84,0.295785272,,Plasma,Swine,IM,1,30,FLO
1,96,0.233329672,,Plasma,Swine,IM,1,30,FLO
1,120,0.108359881,,Plasma,Swine,IM,1,30,FLO
1,144,0.063129371,,Plasma,Swine,IM,1,30,FLO
1,0.5,0.924354608,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,1,1.290944377,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,2,1.530132923,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,3,1.482500275,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,4,1.339250796,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,6,1.211966751,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,8,0.989358819,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,12,0.862455601,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,18,0.767483247,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,24,0.624673185,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,30,0.529730126,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,36,0.434728478,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,42,0.323790692,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,48,0.993167088,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,48.5,2.586810209,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,49,3.06498224,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,50,3.559061115,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,51,3.798220367,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,52,3.065304478,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,54,2.587425391,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,56,2.157384013,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,60,1.37686477,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,66,0.851645978,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,72,0.692929071,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,78,0.454531473,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,84,0.375436669,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,96,0.249295104,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,120,0.092423743,,Plasma,Swine,IM,2 (48 hr),15,FLO
1,144,0.01,,Plasma,Swine,IM,2 (48 hr),15,FLO
2,0.1,26.94943258,,Plasma,Swine,IV,1,20,FLO
2,0.2,24.30587122,,Plasma,Swine,IV,1,20,FLO
2,0.3,22.37369781,,Plasma,Swine,IV,1,20,FLO
2,0.5,19.73013644,,Plasma,Swine,IV,1,20,FLO
2,0.8,17.79866115,,Plasma,Swine,IV,1,20,FLO
2,1,15.56164044,,Plasma,Swine,IV,1,20,FLO
2,1.5,13.32555055,,Plasma,Swine,IV,1,20,FLO
2,2,10.98776732,,Plasma,Swine,IV,1,20,FLO
2,3,7.328901541,,Plasma,Swine,IV,1,20,FLO
2,4,6.516983796,,Plasma,Swine,IV,1,20,FLO
2,6,4.080532436,,Plasma,Swine,IV,1,20,FLO
2,9,2.256335472,,Plasma,Swine,IV,1,20,FLO
2,12,1.245219793,,Plasma,Swine,IV,1,20,FLO
2,15,0.53988225,,Plasma,Swine,IV,1,20,FLO
2,24,0.355112204,,Plasma,Swine,IV,1,20,FLO
2,0.1,1.221018174,,Plasma,Swine,IM,1,20,FLO
2,0.3,2.034797583,,Plasma,Swine,IM,1,20,FLO
2,0.5,2.544195102,,Plasma,Swine,IM,1,20,FLO
2,0.8,3.154587836,,Plasma,Swine,IM,1,20,FLO
2,1,3.155984083,,Plasma,Swine,IM,1,20,FLO
2,1.5,2.751072395,,Plasma,Swine,IM,1,20,FLO
2,2,2.85,,Plasma,Swine,IM,1,20,FLO
2,3,3.36239596,,Plasma,Swine,IM,1,20,FLO
2,4,2.653102384,,Plasma,Swine,IM,1,20,FLO
2,6,2.758751755,,Plasma,Swine,IM,1,20,FLO
2,9,2.357796101,,Plasma,Swine,IM,1,20,FLO
2,12,2.058999201,,Plasma,Swine,IM,1,20,FLO
2,15,1.861430223,,Plasma,Swine,IM,1,20,FLO
2,24,1.269886826,,Plasma,Swine,IM,1,20,FLO
2,36,0.887547802,,Plasma,Swine,IM,1,20,FLO
2,48,0.708828161,,Plasma,Swine,IM,1,20,FLO
2,0.1,1.424172142,,Plasma,Swine,PO,1,20,FLO
2,0.5,4.577829146,,Plasma,Swine,PO,1,20,FLO
2,0.8,7.527866767,,Plasma,Swine,PO,1,20,FLO
2,1,9.358579551,,Plasma,Swine,PO,1,20,FLO
2,1.5,9.969670408,,Plasma,Swine,PO,1,20,FLO
2,2,8.4458993,,Plasma,Swine,PO,1,20,FLO
2,3,9.769308935,,Plasma,Swine,PO,1,20,FLO
2,4,9.364397248,,Plasma,Swine,PO,1,20,FLO
2,9,5.510754982,,Plasma,Swine,PO,1,20,FLO
2,12,4.194326582,,Plasma,Swine,PO,1,20,FLO
2,15,1.760202301,,Plasma,Swine,PO,1,20,FLO
2,24,1.167960781,,Plasma,Swine,PO,1,20,FLO
3,0.2,2.285222921,1.054146499,Plasma,Swine,IM,1,20,FLO
3,0.5,2.95704779,0.715318384,Plasma,Swine,IM,1,20,FLO
3,0.6,4.20605115,1.460271764,Plasma,Swine,IM,1,20,FLO
3,0.9,4.441442148,0.85530942,Plasma,Swine,IM,1,20,FLO
3,1.9,5.909675378,1.944634711,Plasma,Swine,IM,1,20,FLO
3,4,5.315084876,1.197156544,Plasma,Swine,IM,1,20,FLO
3,5.9,4.34745699,0.907912329,Plasma,Swine,IM,1,20,FLO
3,7.9,3.234438662,0.837196982,Plasma,Swine,IM,1,20,FLO
3,12,1.563571145,0.659963075,Plasma,Swine,IM,1,20,FLO
3,0.2,0.861815232,0.723461342,Plasma,Swine,IM,1,5,FLO
3,0.4,1.543388963,0.272455439,Plasma,Swine,IM,1,5,FLO
3,0.7,2.136839528,0.742074471,Plasma,Swine,IM,1,5,FLO
3,1,2.318547974,0.409106253,Plasma,Swine,IM,1,5,FLO
3,2,2.961956196,0.817906205,Plasma,Swine,IM,1,5,FLO
3,3.9,2.663760644,0.92493787,Plasma,Swine,IM,1,5,FLO
3,6,2.20867926,1.339699835,Plasma,Swine,IM,1,5,FLO
3,7.9,1.556456024,1.119296713,Plasma,Swine,IM,1,5,FLO
3,12,0.794383129,0.32010085,Plasma,Swine,IM,1,5,FLO
4,2,3.376548752,,Plasma,Swine,IM,1,20,FLO
4,8,2.523253726,,Plasma,Swine,IM,1,20,FLO
4,24,1.639791704,,Plasma,Swine,IM,1,20,FLO
4,48,0.424492728,,Plasma,Swine,IM,1,20,FLO
4,72,0.307864967,,Plasma,Swine,IM,1,20,FLO
4,2,1.426019034,,Liver,Swine,IM,1,20,FLO
4,8,0.87484288,,Liver,Swine,IM,1,20,FLO
4,24,0.732986173,,Liver,Swine,IM,1,20,FLO
4,48,0.42458251,,Liver,Swine,IM,1,20,FLO
4,72,0.280391453,,Kidney,Swine,IM,1,20,FLO
4,2,4.914975759,,Kidney,Swine,IM,1,20,FLO
4,8,4.006823487,,Kidney,Swine,IM,1,20,FLO
4,24,2.408870533,,Kidney,Swine,IM,1,20,FLO
4,48,1.633147782,,Kidney,Swine,IM,1,20,FLO
4,72,0.912192494,,Kidney,Swine,IM,1,20,FLO
4,96,0.273657748,,Kidney,Swine,IM,1,20,FLO
4,2,2.360118513,,Muscle,Swine,IM,1,20,FLO
4,8,1.534207219,,Muscle,Swine,IM,1,20,FLO
4,24,1.310019752,,Muscle,Swine,IM,1,20,FLO
4,48,0.808942359,,Muscle,Swine,IM,1,20,FLO
4,72,0.417759023,,Muscle,Swine,IM,1,20,FLO
4,96,0.081432932,,Muscle,Swine,IM,1,20,FLO
5,0.1,26.2,,Plasma,Swine,IV,1,20,FLO
5,0.2,23.60847086,,Plasma,Swine,IV,1,20,FLO
5,0.3,21.33355964,,Plasma,Swine,IV,1,20,FLO
5,0.5,18.73315751,,Plasma,Swine,IV,1,20,FLO
5,0.8,17.86439837,,Plasma,Swine,IV,1,20,FLO
5,1,14.0720963,,Plasma,Swine,IV,1,20,FLO
5,2,11.89961093,,Plasma,Swine,IV,1,20,FLO
5,4,5.713520994,,Plasma,Swine,IV,1,20,FLO
5,8,1.572814393,,Plasma,Swine,IV,1,20,FLO
5,12,0.353888135,,Plasma,Swine,IV,1,20,FLO
5,24,0.03,,Plasma,Swine,IV,1,20,FLO
5,0.3,1.947657719,,Plasma,Swine,IM,1,20,FLO
5,0.5,2.704003029,,Plasma,Swine,IM,1,20,FLO
5,1,3.459173282,,Plasma,Swine,IM,1,20,FLO
5,2,3.12839461,,Plasma,Swine,IM,1,20,FLO
5,4,2.681676938,,Plasma,Swine,IM,1,20,FLO
5,8,2.437460831,,Plasma,Swine,IM,1,20,FLO
5,12,1.871278985,,Plasma,Swine,IM,1,20,FLO
5,16,1.305097138,,Plasma,Swine,IM,1,20,FLO
5,24,1.034442239,,Plasma,Swine,IM,1,20,FLO
5,36,0.74087372,,Plasma,Swine,IM,1,20,FLO
5,48,0.337241487,,Plasma,Swine,IM,1,20,FLO
5,0.5,2.82,,Plasma,Swine,PO,1,20,FLO
5,1,3.56,,Plasma,Swine,PO,1,20,FLO
5,2,8.760053269,,Plasma,Swine,PO,1,20,FLO
5,4,7.01372206,,Plasma,Swine,PO,1,20,FLO
5,8,3.088442657,,Plasma,Swine,PO,1,20,FLO
5,12,1.329773344,,Plasma,Swine,PO,1,20,FLO
5,16,0.384,,Plasma,Swine,PO,1,20,FLO
5,24,0.328,,Plasma,Swine,PO,1,20,FLO
5,36,0.25,,Plasma,Swine,PO,1,20,FLO
6,144,9.86,1.65,Liver,Swine,PO,1,105.5408971,FLOA
6,192,5.35,0.743,Liver,Swine,PO,1,105.5408971,FLOA
6,264,3.31,0.688,Liver,Swine,PO,1,105.5408971,FLOA
6,336,2.41,0.555,Liver,Swine,PO,1,105.5408971,FLOA
6,408,1.57,0.328,Liver,Swine,PO,1,105.5408971,FLOA
6,480,1.51,0.209,Liver,Swine,PO,1,105.5408971,FLOA
6,624,0.674,0.095,Liver,Swine,PO,1,105.5408971,FLOA
6,144,3.27,0.836,Kidney,Swine,PO,1,105.5408971,FLOA
6,192,1.16,0.188,Kidney,Swine,PO,1,105.5408971,FLOA
6,264,0.672,0.055,Kidney,Swine,PO,1,105.5408971,FLOA
6,336,0.385,0.104,Kidney,Swine,PO,1,105.5408971,FLOA
6,408,0.25,0.051,Kidney,Swine,PO,1,105.5408971,FLOA
6,480,0.198,0.02,Kidney,Swine,PO,1,105.5408971,FLOA
6,624,0.123,0.052,Kidney,Swine,PO,1,105.5408971,FLOA
6,144,0.527,0.24,Muscle,Swine,PO,1,105.5408971,FLOA
6,192,0.181,0.021,Muscle,Swine,PO,1,105.5408971,FLOA
6,264,0.177,0.011,Muscle,Swine,PO,1,105.5408971,FLOA
6,336,0.092,0.046,Muscle,Swine,PO,1,105.5408971,FLOA
6,408,0.055,0.06,Muscle,Swine,PO,1,105.5408971,FLOA
6,480,0.03,0.047,Muscle,Swine,PO,1,105.5408971,FLOA
6,144,0.884,0.226,Fat,Swine,PO,1,105.5408971,FLOA
6,192,0.333,0.046,Fat,Swine,PO,1,105.5408971,FLOA
6,264,0.289,0.092,Fat,Swine,PO,1,105.5408971,FLOA
6,336,0.218,0.053,Fat,Swine,PO,1,105.5408971,FLOA
6,408,0.237,0.1,Fat,Swine,PO,1,105.5408971,FLOA
6,480,0.142,0.057,Fat,Swine,PO,1,105.5408971,FLOA
6,624,0.122,0.07,Fat,Swine,PO,1,105.5408971,FLOA
7,192,6.055,0.679,Liver,Swine,PO,5 (24 hr),10,FLOA
7,264,4.475,0.597,Liver,Swine,PO,5 (24 hr),10,FLOA
7,336,2.584,0.396,Liver,Swine,PO,5 (24 hr),10,FLOA
7,408,1.661,0.16,Liver,Swine,PO,5 (24 hr),10,FLOA
7,480,1.041,0.259,Liver,Swine,PO,5 (24 hr),10,FLOA
7,192,1.125,0.237,Kidney,Swine,PO,5 (24 hr),10,FLOA
7,264,0.736,0.077,Kidney,Swine,PO,5 (24 hr),10,FLOA
7,336,0.507,0.117,Kidney,Swine,PO,5 (24 hr),10,FLOA
7,408,0.352,0.04,Kidney,Swine,PO,5 (24 hr),10,FLOA
7,480,0.249,0.032,Kidney,Swine,PO,5 (24 hr),10,FLOA
7,192,0.137,0.028,Muscle,Swine,PO,5 (24 hr),10,FLOA
7,264,0.12,0.011,Muscle,Swine,PO,5 (24 hr),10,FLOA
7,336,0.121,0.015,Muscle,Swine,PO,5 (24 hr),10,FLOA
7,408,0.096,0.029,Muscle,Swine,PO,5 (24 hr),10,FLOA
7,480,0.094,0.011,Muscle,Swine,PO,5 (24 hr),10,FLOA
7,192,0.089,0.018,Fat,Swine,PO,5 (24 hr),10,FLOA
7,264,0.071,0.006,Fat,Swine,PO,5 (24 hr),10,FLOA
7,336,0.058,0.016,Fat,Swine,PO,5 (24 hr),10,FLOA
7,408,0.038,0.012,Fat,Swine,PO,5 (24 hr),10,FLOA
7,480,0.032,0.006,Fat,Swine,PO,5 (24 hr),10,FLOA
8,0.5,3.571984436,,Plasma,Swine,IM,1,15,FLO
8,1,6.86381323,,Plasma,Swine,IM,1,15,FLO
8,1.5,6.793774319,,Plasma,Swine,IM,1,15,FLO
8,2,6.303501946,,Plasma,Swine,IM,1,15,FLO
8,3,6.723735409,,Plasma,Swine,IM,1,15,FLO
8,4,5.252918288,,Plasma,Swine,IM,1,15,FLO
8,5,4.412451362,,Plasma,Swine,IM,1,15,FLO
8,8,3.642023346,,Plasma,Swine,IM,1,15,FLO
8,11,2.73151751,,Plasma,Swine,IM,1,15,FLO
8,14,2.451361868,,Plasma,Swine,IM,1,15,FLO
8,17,2.031128405,,Plasma,Swine,IM,1,15,FLO
8,20,1.610894942,,Plasma,Swine,IM,1,15,FLO
8,24,1.470817121,,Plasma,Swine,IM,1,15,FLO
8,30,1.190661479,,Plasma,Swine,IM,1,15,FLO
8,36,0.770428016,,Plasma,Swine,IM,1,15,FLO
8,42,0.770428016,,Plasma,Swine,IM,1,15,FLO
8,50,0.770428016,,Plasma,Swine,IM,1,15,FLO
8,0.5,4.20233463,,Plasma,Swine,PO,1,15,FLO
8,1,6.583657588,,Plasma,Swine,PO,1,15,FLO
8,1.5,6.79,,Plasma,Swine,PO,1,15,FLO
8,2,9.73540856,,Plasma,Swine,PO,1,15,FLO
8,3,13.93774319,,Plasma,Swine,PO,1,15,FLO
8,4,13.09727626,,Plasma,Swine,PO,1,15,FLO
8,5,10.78599222,,Plasma,Swine,PO,1,15,FLO
8,8,6.443579767,,Plasma,Swine,PO,1,15,FLO
8,11,2.871595331,,Plasma,Swine,PO,1,15,FLO
8,14,1.610894942,,Plasma,Swine,PO,1,15,FLO
8,17,1.050583658,,Plasma,Swine,PO,1,15,FLO
8,20,0.560311284,,Plasma,Swine,PO,1,15,FLO
8,24,0.350194553,,Plasma,Swine,PO,1,15,FLO
8,30,0.140077821,,Plasma,Swine,PO,1,15,FLO
8,36,0.070038911,,Plasma,Swine,PO,1,15,FLO
8,42,0.210116732,,Plasma,Swine,PO,1,15,FLO
8,50,0.140077821,,Plasma,Swine,PO,1,15,FLO
8,0.5,0.689715989,0.183908046,Plasma,Swine,PO,3 (24 hr),250,FLO
8,1,1.471446816,0.275862069,Plasma,Swine,PO,3 (24 hr),250,FLO
8,1.5,2.115246609,0.16091954,Plasma,Swine,PO,3 (24 hr),250,FLO
8,2,2.713191024,0.390682965,Plasma,Swine,PO,3 (24 hr),250,FLO
8,3,3.081067932,0.781609195,Plasma,Swine,PO,3 (24 hr),250,FLO
8,4,3.702000851,0.873624035,Plasma,Swine,PO,3 (24 hr),250,FLO
8,5,3.311500334,0.620750471,Plasma,Swine,PO,3 (24 hr),250,FLO
8,8,4.62251414,0.735753816,Plasma,Swine,PO,3 (24 hr),250,FLO
8,12,4.508666302,0.896551724,Plasma,Swine,PO,3 (24 hr),250,FLO
8,18,3.93535243,0.528674816,Plasma,Swine,PO,3 (24 hr),250,FLO
8,24,2.948123822,0.551724138,Plasma,Swine,PO,3 (24 hr),250,FLO
8,30,4.558900444,0.988505747,Plasma,Swine,PO,3 (24 hr),250,FLO
8,36,4.974153135,0.827647023,Plasma,Swine,PO,3 (24 hr),250,FLO
8,42,3.665146263,0.551724138,Plasma,Swine,PO,3 (24 hr),250,FLO
8,48,2.586085264,0.390804598,Plasma,Swine,PO,3 (24 hr),250,FLO
