Study,Time,Conc.,SD,Unit,Dose,Dtmes,Matrix,Route,Comp.,Spieces
8,96,0.094,NA,ug/mL,2.2,3,L,IV,FLU,Cattle
8,120,0.096,NA,ug/mL,2.2,3,L,IV,FLU,Cattle
8,144,0.061,NA,ug/mL,2.2,3,L,IV,FLU,Cattle
8,168,0.048,NA,ug/mL,2.2,3,L,IV,FLU,Cattle
8,192,0.042,NA,ug/mL,2.2,3,L,IV,FLU,Cattle
8,72,0.023,NA,ug/mL,2.2,3,M,IV,FLU,Cattle
8,72,1.42,NA,ug/mL,2.2,3,K,IV,FLU,Cattle
8,96,0.47,NA,ug/mL,2.2,3,K,IV,FLU,Cattle
8,120,0.37,NA,ug/mL,2.2,3,K,IV,FLU,Cattle
8,144,0.25,NA,ug/mL,2.2,3,K,IV,FLU,Cattle
8,72,0.076,NA,ug/mL,2.2,3,F,IV,FLU,Cattle
8,96,0.053,NA,ug/mL,2.2,3,F,IV,FLU,Cattle
9,0.08,26,4.4,ug/mL,2.2,1,P,IV,FLU,Cattle
9,0.17,17,2.7,ug/mL,2.2,1,P,IV,FLU,Cattle
9,0.25,13,2.5,ug/mL,2.2,1,P,IV,FLU,Cattle
9,0.33,11,3,ug/mL,2.2,1,P,IV,FLU,Cattle
9,0.5,7,1.7,ug/mL,2.2,1,P,IV,FLU,Cattle
9,0.75,4.1,0.72,ug/mL,2.2,1,P,IV,FLU,Cattle
9,1,2.6,0.51,ug/mL,2.2,1,P,IV,FLU,Cattle
9,1.5,1.2,0.22,ug/mL,2.2,1,P,IV,FLU,Cattle
9,2,0.95,0.35,ug/mL,2.2,1,P,IV,FLU,Cattle
9,4,1,0.27,ug/mL,2.2,1,P,IV,FLU,Cattle
9,8,0.44,0.092,ug/mL,2.2,1,P,IV,FLU,Cattle
9,12,0.19,0.076,ug/mL,2.2,1,P,IV,FLU,Cattle
9,24,0.029,0.028,ug/mL,2.2,1,P,IV,FLU,Cattle
9,0.08,1.2,0.94,ug/mL,2.2,1,P,SC,FLU,Cattle
9,0.17,2.1,1.2,ug/mL,2.2,1,P,SC,FLU,Cattle
9,0.25,2.4,1.5,ug/mL,2.2,1,P,SC,FLU,Cattle
9,0.33,2.5,1.6,ug/mL,2.2,1,P,SC,FLU,Cattle
9,0.5,2.5,1.3,ug/mL,2.2,1,P,SC,FLU,Cattle
9,0.75,2.5,1.1,ug/mL,2.2,1,P,SC,FLU,Cattle
9,1,2.9,0.92,ug/mL,2.2,1,P,SC,FLU,Cattle
9,1.5,2.7,0.71,ug/mL,2.2,1,P,SC,FLU,Cattle
9,2,2.4,0.78,ug/mL,2.2,1,P,SC,FLU,Cattle
9,4,1.2,0.34,ug/mL,2.2,1,P,SC,FLU,Cattle
9,8,0.63,0.18,ug/mL,2.2,1,P,SC,FLU,Cattle
9,12,0.31,0.087,ug/mL,2.2,1,P,SC,FLU,Cattle
9,24,0.036,0.015,ug/mL,2.2,1,P,SC,FLU,Cattle
10,0.528248588,9.023,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,0.752354049,6.477,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,0.871939736,4.649,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,1.0913371,3.702,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,1.650659134,1.65,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,1.789077213,0.782,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,2.333333333,0.486,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,2.934086629,0.87,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,3.997175141,0.588,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,4.84086629,0.499,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,6.202448211,0.47,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,7.889830508,0.338,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,10.03201507,0.109,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,12.23352166,0.094,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,14.02071563,0.075,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,16.11205273,0.074,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,18.0047081,0.058,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,22.94821092,0.03,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,24.95762712,0.018,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,26.93502825,0.021,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,29.15160075,0.013,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
10,0.303201507,1.283,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,0.286252354,1.864,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,0.169491525,2.44,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,0.070621469,2.154,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,1.012241055,2.114,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,1.124293785,1.791,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,1.445386064,1.518,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,2.079096045,1.315,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,2.402071563,1.069,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,3.032015066,1.006,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,3.873822976,0.89,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,5.138418079,0.71,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,5.983050847,0.59,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,7.983050847,0.434,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,9.986817326,0.294,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,12.18832392,0.255,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,14.09039548,0.162,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,16.20056497,0.106,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,18.30602637,0.076,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,23.15725047,0.03,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,25.25988701,0.023,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,26.84086629,0.017,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
10,29.14500942,0.015,NA,ug/mL,2.2,1,P,IM,FLU,Cattle
11,0.25,8.01,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,0.5,6.1,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,1,4.22,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,2,1.69,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,4,1.42,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,8,1.11,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,12,0.79,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,24,0.24,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,48.25,9.4,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,48.5,6.34,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,49,3.42,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,50,1.67,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,52,0.65,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,56,0.74,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,50,0.44,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,72,0.24,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,84,0.06,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,96,0.18,NA,ug/mL,2.2,3,P,IV,FLU,Cattle
11,72,3.19,1.35,ug/mL,2.2,3,L,IV,FLU,Cattle
11,96,0.126,0.005,ug/mL,2.2,3,L,IV,FLU,Cattle
11,120,0.09,0.013,ug/mL,2.2,3,L,IV,FLU,Cattle
11,144,0.052,0.013,ug/mL,2.2,3,L,IV,FLU,Cattle
11,168,0.101,0.024,ug/mL,2.2,3,L,IV,FLU,Cattle
11,72,0.096,0.032,ug/mL,2.2,3,M,IV,FLU,Cattle
11,96,0.005,0.002,ug/mL,2.2,3,M,IV,FLU,Cattle
11,120,0.01,0.002,ug/mL,2.2,3,M,IV,FLU,Cattle
11,144,0.002,0.001,ug/mL,2.2,3,M,IV,FLU,Cattle
11,168,0.007,0.002,ug/mL,2.2,3,M,IV,FLU,Cattle
11,72,0.926,0.421,ug/mL,2.2,3,K,IV,FLU,Cattle
11,96,0.028,0.011,ug/mL,2.2,3,K,IV,FLU,Cattle
11,120,0.028,0.006,ug/mL,2.2,3,K,IV,FLU,Cattle
11,144,0.017,0.004,ug/mL,2.2,3,K,IV,FLU,Cattle
11,168,0.023,0.008,ug/mL,2.2,3,K,IV,FLU,Cattle
11,72,0.167,0.085,ug/mL,2.2,3,L-Met,IV,5OH,Cattle
11,96,0.013,0.005,ug/mL,2.2,3,L-Met,IV,5OH,Cattle
11,120,0.003,0.002,ug/mL,2.2,3,L-Met,IV,5OH,Cattle
11,144,0.004,NA,ug/mL,2.2,3,L-Met,IV,5OH,Cattle
12,0.5,7.843,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,1,2.719,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,1.5,1.016,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,2,0.826,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,2.5,0.564,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,3,0.697,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,4,0.376,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,5,0.51,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,6,0.29,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,7,0.323,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,8,0.245,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,10,0.189,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,12,0.134,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,16,0.114,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,20,0.073,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,24,0.245,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,72.5,3.348,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,73,1.096,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,73.5,0.451,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,74,0.523,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,74.5,0.635,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,75,0.525,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,75.5,0.537,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,76,0.376,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,77,0.318,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,78,0.301,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,79,0.252,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,80,0.265,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,82,0.472,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,84,0.114,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,88,0.083,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,92,0.063,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,96,0.073,NA,ug/mL,2.2,4,P,IV,FLU,Cattle
12,0.6,0.241,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,1,0.241,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,1.5,0.069,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,2,0.058,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,2.5,0.072,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,3,0.096,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,3.5,0.099,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,4,0.071,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,5,0.053,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,6,0.06,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,7,0.062,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,10,0.043,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,12,0.03,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,16,0.052,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,20,0.004,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,24,0.02,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,72.05,0.175,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,72.6,0.241,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,73,0.095,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,73.5,0.058,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,74,0.072,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,74.5,0.095,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,75,0.085,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,75.5,0.069,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,76,0.067,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,80,0.03,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,82,0.022,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,84,0.016,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
12,96,0.004,NA,ug/mL,2.2,4,P-Met,IV,5OH,Cattle
13,0.31,15.33,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,0.45,11.94,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,0.74,9.46,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,0.88,7.88,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,0.92,4.78,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,1.11,3.48,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,2,2.42,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,3,0.72,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,4,0.5,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,6,0.35,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,8,0.24,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,12,0.05,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
13,24,0.005,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,0.08,16.16,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,0.25,9.72,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,0.5,5.96,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,0.75,4.08,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,1,2.81,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,1.5,1.69,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,2,1.22,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,2.5,1.12,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,3,1.31,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,4,1.45,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,5,0.97,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,6,0.84,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,8,0.65,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,10,0.49,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,12,0.37,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,16,0.24,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,22,0.1,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
14,24,0.08,NA,ug/mL,2.2,1,P,IV,FLU,Cattle
1,0.5,12.318,NA,ug/mL,3,1,P,IV,FLU,Swine
1,1,5.857,NA,ug/mL,3,1,P,IV,FLU,Swine
1,2,1.778,NA,ug/mL,3,1,P,IV,FLU,Swine
1,3,1.238,NA,ug/mL,3,1,P,IV,FLU,Swine
1,4,0.866,NA,ug/mL,3,1,P,IV,FLU,Swine
1,8,0.4,NA,ug/mL,3,1,P,IV,FLU,Swine
1,12,0.233,NA,ug/mL,3,1,P,IV,FLU,Swine
1,16,0.121,NA,ug/mL,3,1,P,IV,FLU,Swine
1,24,0.028,NA,ug/mL,3,1,P,IV,FLU,Swine
1,0.5,0.198,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,1,0.135,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,2,0.055,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,3,0.037,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,4,0.036,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,8,0.02,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,12,0.013,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,16,0.008,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
1,24,0.004,NA,ug/mL,3,1,P-Met,IV,5OH,Swine
2,0.05,21.695,4.036,ug/mL,2.2,1,P,IV,FLU,Swine
2,0.1,18.616,3.63,ug/mL,2.2,1,P,IV,FLU,Swine
2,0.17,22.819,1.741,ug/mL,2.2,1,P,IV,FLU,Swine
2,0.33,10.019,-,ug/mL,2.2,1,P,IV,FLU,Swine
2,0.5,8.99,0.33,ug/mL,2.2,1,P,IV,FLU,Swine
2,1,3.358,0.829,ug/mL,2.2,1,P,IV,FLU,Swine
2,2,2.005,0.663,ug/mL,2.2,1,P,IV,FLU,Swine
2,4,0.909,0.254,ug/mL,2.2,1,P,IV,FLU,Swine
2,8,0.407,0.087,ug/mL,2.2,1,P,IV,FLU,Swine
2,16,0.094,0.176,ug/mL,2.2,1,P,IV,FLU,Swine
2,24,0.033,0.066,ug/mL,2.2,1,P,IV,FLU,Swine
2,36,0.011,0.0284,ug/mL,2.2,1,P,IV,FLU,Swine
2,0.17,2.831,1.23,ug/mL,2.2,1,P,IM,FLU,Swine
2,0.33,3.1,1.22,ug/mL,2.2,1,P,IM,FLU,Swine
2,0.67,3.259,1.56,ug/mL,2.2,1,P,IM,FLU,Swine
2,1,2.761,0.85,ug/mL,2.2,1,P,IM,FLU,Swine
2,2,2.264,0.38,ug/mL,2.2,1,P,IM,FLU,Swine
2,4,1.195,0.574,ug/mL,2.2,1,P,IM,FLU,Swine
2,8,0.593,0.327,ug/mL,2.2,1,P,IM,FLU,Swine
2,16,0.176,0.087,ug/mL,2.2,1,P,IM,FLU,Swine
2,24,0.066,0.0302,ug/mL,2.2,1,P,IM,FLU,Swine
2,36,0.028,0.0172,ug/mL,2.2,1,P,IM,FLU,Swine
2,48,0.01,0.0088,ug/mL,2.2,1,P,IM,FLU,Swine
2,0.25,0.537,0.231,ug/mL,2.2,1,P,PO,FLU,Swine
2,0.5,0.987,0.432,ug/mL,2.2,1,P,PO,FLU,Swine
2,1,0.786,0.385,ug/mL,2.2,1,P,PO,FLU,Swine
2,2,0.87,0.3372,ug/mL,2.2,1,P,PO,FLU,Swine
2,4,0.44,0.204,ug/mL,2.2,1,P,PO,FLU,Swine
2,8,0.173,0.114,ug/mL,2.2,1,P,PO,FLU,Swine
2,12,0.076,0.0614,ug/mL,2.2,1,P,PO,FLU,Swine
2,16,0.047,0.0388,ug/mL,2.2,1,P,PO,FLU,Swine
2,24,0.017,0.0165,ug/mL,2.2,1,P,PO,FLU,Swine
2,36,0.006,0.004,ug/mL,2.2,1,P,PO,FLU,Swine
2,48,0.002,0.001,ug/mL,2.2,1,P,PO,FLU,Swine
3,72,0.214,0.088,ug/mL,2.2,3,L,IM,FLU,Swine
3,120,0.037,0.01,ug/mL,2.2,3,L,IM,FLU,Swine
3,168,0.026,0.01,ug/mL,2.2,3,L,IM,FLU,Swine
3,216,0.014,0.006,ug/mL,2.2,3,L,IM,FLU,Swine
3,264,0.014,0.005,ug/mL,2.2,3,L,IM,FLU,Swine
3,408,0.006,0.001,ug/mL,2.2,3,L,IM,FLU,Swine
3,72,0.552,0.168,ug/mL,2.2,3,K,IM,FLU,Swine
3,144,0.115,0.013,ug/mL,2.2,3,K,IM,FLU,Swine
3,216,0.042,0.003,ug/mL,2.2,3,K,IM,FLU,Swine
3,288,0.025,0.003,ug/mL,2.2,3,K,IM,FLU,Swine
3,360,0.023,0.006,ug/mL,2.2,3,K,IM,FLU,Swine
3,72,0.019,0.003,ug/mL,2.2,3,M,IM,FLU,Swine
3,144,0.007,0.001,ug/mL,2.2,3,M,IM,FLU,Swine
3,216,0.003,0.002,ug/mL,2.2,3,M,IM,FLU,Swine
3,288,0.001,0.003,ug/mL,2.2,3,M,IM,FLU,Swine
3,360,0.002,0.001,ug/mL,2.2,3,M,IM,FLU,Swine
3,72,0.027,0.009,ug/mL,2.2,3,F,IM,FLU,Swine
3,144,0.007,0.002,ug/mL,2.2,3,F,IM,FLU,Swine
3,216,0.003,0.001,ug/mL,2.2,3,F,IM,FLU,Swine
3,288,0.002,0.002,ug/mL,2.2,3,F,IM,FLU,Swine
3,360,0.001,0.001,ug/mL,2.2,3,F,IM,FLU,Swine
4,0.25,4.683,1.737,ug/mL,2,1,P,IV,FLU,Swine
4,0.5,2.441,0.679,ug/mL,2,1,P,IV,FLU,Swine
4,1,1.562,0.878,ug/mL,2,1,P,IV,FLU,Swine
4,2,0.399,0.24,ug/mL,2,1,P,IV,FLU,Swine
4,4,0.287,0.123,ug/mL,2,1,P,IV,FLU,Swine
4,8,0.188,0.112,ug/mL,2,1,P,IV,FLU,Swine
4,12,0.12,0.067,ug/mL,2,1,P,IV,FLU,Swine
4,24,0.046,0.027,ug/mL,2,1,P,IV,FLU,Swine
4,32,0.023,0.003,ug/mL,2,1,P,IV,FLU,Swine
5,72,0.139,NA,ug/mL,2.4,3,L,IM,FLU,Swine
5,384,0.01,NA,ug/mL,2.4,3,L,IM,FLU,Swine
5,72,0.116,NA,ug/mL,2.4,3,K,IM,FLU,Swine
5,168,0.024,NA,ug/mL,2.4,3,K,IM,FLU,Swine
5,72,0.018,NA,ug/mL,2.4,3,M,IM,FLU,Swine
6,1,3.556,1.518394813,ug/mL,2.2,1,P,IM,FLU,Swine
6,3,2.099,0.906279459,ug/mL,2.2,1,P,IM,FLU,Swine
6,6,1.078,0.51172823,ug/mL,2.2,1,P,IM,FLU,Swine
6,12,0.393,0.12952764,ug/mL,2.2,1,P,IM,FLU,Swine
6,24,0.069,0.033595209,ug/mL,2.2,1,P,IM,FLU,Swine
6,36,0.026,0.017180636,ug/mL,2.2,1,P,IM,FLU,Swine
6,48,0.013,0.007763161,ug/mL,2.2,1,P,IM,FLU,Swine
6,1,0.133,0.071567303,ug/mL,2.2,1,P,IM,5OH,Swine
6,3,0.151,0.142344922,ug/mL,2.2,1,P,IM,5OH,Swine
6,6,0.076,0.052811615,ug/mL,2.2,1,P,IM,5OH,Swine
6,12,0.035,0.019591858,ug/mL,2.2,1,P,IM,5OH,Swine
6,24,0.007,0.003201562,ug/mL,2.2,1,P,IM,5OH,Swine
6,24,0.177,0.129722833,ug/mL,2.2,1,L,IM,FLU,Swine
6,24,0.118,0.041352267,ug/mL,2.2,1,K,IM,FLU,Swine
6,24,0.162,0.122756222,ug/mL,2.2,1,L,IM,5OH,Swine
6,24,0.077,0.029451146,ug/mL,2.2,1,K,IM,5OH,Swine
6,24,4.121,3.870346357,ug/mL,2.2,1,U,IM,FLU,Swine
6,24,0.752,0.543130128,ug/mL,2.2,1,U,IM,5OH,Swine
6,96,0.033,0.020933924,ug/mL,2.2,1,U,IM,FLU,Swine
7,0.25,6.025,1.412959003,ug/mL,2.2,1,P,IM,FLU,Swine
7,0.5,5.892,1.584525736,ug/mL,2.2,1,P,IM,FLU,Swine
7,0.75,5,0.60412546,ug/mL,2.2,1,P,IM,FLU,Swine
7,1,4.973,1.219393409,ug/mL,2.2,1,P,IM,FLU,Swine
7,1.5,3.585,1.079059136,ug/mL,2.2,1,P,IM,FLU,Swine
7,2,2.823,1.168216447,ug/mL,2.2,1,P,IM,FLU,Swine
7,3,1.878,1.008576012,ug/mL,2.2,1,P,IM,FLU,Swine
7,6,1.181,0.454371727,ug/mL,2.2,1,P,IM,FLU,Swine
7,12,0.694,0.278877341,ug/mL,2.2,1,P,IM,FLU,Swine
7,24,0.167,0.065275606,ug/mL,2.2,1,P,IM,FLU,Swine
7,36,0.087,0.068570437,ug/mL,2.2,1,P,IM,FLU,Swine
7,48,0.038,0.044669154,ug/mL,2.2,1,P,IM,FLU,Swine
7,60,0.019,0.012711075,ug/mL,2.2,1,P,IM,FLU,Swine
7,72,0.007,0.004755949,ug/mL,2.2,1,P,IM,FLU,Swine
7,0.25,3.643,1.030913527,ug/mL,3.3,1,P,PO,FLU,Swine
7,0.5,4.387,1.106918681,ug/mL,3.3,1,P,PO,FLU,Swine
7,0.75,4.952,1.134052101,ug/mL,3.3,1,P,PO,FLU,Swine
7,1,5.208,1.368872237,ug/mL,3.3,1,P,PO,FLU,Swine
7,1.5,4.561,1.04150284,ug/mL,3.3,1,P,PO,FLU,Swine
7,2,4.021,0.851424551,ug/mL,3.3,1,P,PO,FLU,Swine
7,3,3.107,0.980240719,ug/mL,3.3,1,P,PO,FLU,Swine
7,6,1.433,0.561476625,ug/mL,3.3,1,P,PO,FLU,Swine
7,12,0.715,0.331642227,ug/mL,3.3,1,P,PO,FLU,Swine
7,24,0.25,0.092888643,ug/mL,3.3,1,P,PO,FLU,Swine
7,36,0.062,0.018787407,ug/mL,3.3,1,P,PO,FLU,Swine
7,48,0.032,0.008549854,ug/mL,3.3,1,P,PO,FLU,Swine
7,60,0.015,0.004505552,ug/mL,3.3,1,P,PO,FLU,Swine
7,72,0.008,0.002875181,ug/mL,3.3,1,P,PO,FLU,Swine
