Study,Time,Conc,SD,Unit,Matrix,Species,Route,Repeat,Dose,Chemical
1,2.053391649,11.48732634,NA,ug/mL,P,Swine,SC,1,99,PG
1,5.59527564,4.991918964,NA,ug/mL,P,Swine,SC,1,99,PG
1,10.84572011,2.492005037,NA,ug/mL,P,Swine,SC,1,99,PG
1,13.67454869,1.333762216,NA,ug/mL,P,Swine,SC,1,99,PG
1,26.11446316,1.057001979,NA,ug/mL,P,Swine,SC,1,99,PG
1,32.84820151,0.209067973,NA,ug/mL,P,Swine,SC,1,99,PG
1,2.309779689,10.71652618,NA,ug/mL,P,Swine,IM,1,99,PG
1,3.385237067,4.992875099,NA,ug/mL,P,Swine,IM,1,99,PG
1,6.434445688,2.611054747,NA,ug/mL,P,Swine,IM,1,99,PG
1,10.52916856,0.839812231,NA,ug/mL,P,Swine,IM,1,99,PG
1,13.87947198,0.579746156,NA,ug/mL,P,Swine,IM,1,99,PG
1,24.14247939,0.26676244,NA,ug/mL,P,Swine,IM,1,99,PG
2,0.24,0.48,1.175755077,ug/mL,P,Swine,IM,3,14.9,PG
2,0.023,0.014,0.034292856,ug/mL,P,Swine,IM,3,14.9,PG
2,0.017,0.011,0.026944387,ug/mL,P,Swine,IM,3,14.9,PG
2,72,0.007,0.004898979,ug/mL,F,Swine,IM,3,14.9,PG
2,96,NA,NA,ug/mL,F,Swine,IM,3,14.9,PG
2,72,1.3,1.004290795,ug/mL,K,Swine,IM,3,14.9,PG
2,96,0.12,0.159216833,ug/mL,K,Swine,IM,3,14.9,PG
2,120,0.24,0.440908154,ug/mL,K,Swine,IM,3,14.9,PG
2,72,0.03,0.019595918,ug/mL,M,Swine,IM,3,14.9,PG
2,96,NA,NA,ug/mL,M,Swine,IM,3,14.9,PG
2,120,0.64,0.342928564,ug/mL,P,Swine,IM,5,65.4,PG
2,144,0.32,0.318433667,ug/mL,P,Swine,IM,5,65.4,PG
2,120,0.7,1.469693846,ug/mL,F,Swine,IM,5,65.4,PG
2,140,0.036,0.014696938,ug/mL,F,Swine,IM,5,65.4,PG
2,120,5.3,3.184336666,ug/mL,K,Swine,IM,5,65.4,PG
2,144,1.8,2.302520358,ug/mL,K,Swine,IM,5,65.4,PG
2,168,0.18,0.269443872,ug/mL,K,Swine,IM,5,65.4,PG
2,216,0.44,0.979795897,ug/mL,K,Swine,IM,5,65.4,PG
2,120,0.027,0.004898979,ug/mL,L,Swine,IM,5,65.4,PG
2,144,NA,NA,ug/mL,L,Swine,IM,5,65.4,PG
2,120,0.073,0.00244949,ug/mL,M,Swine,IM,5,65.4,PG
2,144,0.052,0.034292856,ug/mL,M,Swine,IM,5,65.4,PG
3,72,0.238,0.119,ug/mL,P,Swine,IM,3,14.9,PG
3,96,0.065,0.025,ug/mL,P,Swine,IM,3,14.9,PG
3,120,0.049,0.023,ug/mL,P,Swine,IM,3,14.9,PG
3,144,NA,NA,ug/mL,P,Swine,IM,3,14.9,PG
3,168,NA,NA,ug/mL,P,Swine,IM,3,14.9,PG
3,240,NA,NA,ug/mL,P,Swine,IM,3,14.9,PG
3,72,0.03,0.018,ug/mL,M,Swine,IM,3,14.9,PG
3,96,0.0135,0.004,ug/mL,M,Swine,IM,3,14.9,PG
3,120,0.02,NA,ug/mL,M,Swine,IM,3,14.9,PG
3,144,NA,NA,ug/mL,M,Swine,IM,3,14.9,PG
3,168,NA,NA,ug/mL,M,Swine,IM,3,14.9,PG
3,240,NA,NA,ug/mL,M,Swine,IM,3,14.9,PG
3,72,1.248,0.977,ug/mL,K,Swine,IM,3,14.9,PG
3,96,0.172,0.171,ug/mL,K,Swine,IM,3,14.9,PG
3,120,0.354,0.505,ug/mL,K,Swine,IM,3,14.9,PG
3,144,0.013,0.008,ug/mL,K,Swine,IM,3,14.9,PG
3,168,0.007,NA,ug/mL,K,Swine,IM,3,14.9,PG
3,240,0.013,0.001,ug/mL,K,Swine,IM,3,14.9,PG
7,1,1.18,0.277128129,ug/mL,P,Cattle,IM,5,23.7,PG
7,24,0.31,0.519615242,ug/mL,P,Cattle,IM,5,23.7,PG
7,25,2.91,0.519615242,ug/mL,P,Cattle,IM,5,23.7,PG
7,48,0.17,0.069282032,ug/mL,P,Cattle,IM,5,23.7,PG
7,49,2.8,1.784012332,ug/mL,P,Cattle,IM,5,23.7,PG
7,72,0.21,0.277128129,ug/mL,P,Cattle,IM,5,23.7,PG
7,73,0.57,0.502294734,ug/mL,P,Cattle,IM,5,23.7,PG
7,96,0.38,0.017320508,ug/mL,P,Cattle,IM,5,23.7,PG
7,96.25,0.44,0.121243557,ug/mL,P,Cattle,IM,5,23.7,PG
7,96.5,0.55,0.173205081,ug/mL,P,Cattle,IM,5,23.7,PG
7,97,0.58,0.155884573,ug/mL,P,Cattle,IM,5,23.7,PG
7,98,0.67,0.155884573,ug/mL,P,Cattle,IM,5,23.7,PG
7,100,0.83,0.190525589,ug/mL,P,Cattle,IM,5,23.7,PG
7,102,0.97,0.08660254,ug/mL,P,Cattle,IM,5,23.7,PG
7,104,0.85,0.069282032,ug/mL,P,Cattle,IM,5,23.7,PG
7,106,0.82,0.069282032,ug/mL,P,Cattle,IM,5,23.7,PG
7,108,0.72,0.173205081,ug/mL,P,Cattle,IM,5,23.7,PG
7,120,0.55,0.103923048,ug/mL,P,Cattle,IM,5,23.7,PG
7,132,0.34,0.051961524,ug/mL,P,Cattle,IM,5,23.7,PG
7,144,0.2,0.034641016,ug/mL,P,Cattle,IM,5,23.7,PG
7,168,0.05,0.034641016,ug/mL,P,Cattle,IM,5,23.7,PG
7,1,2.45,0.675499815,ug/mL,P,Cattle,IM,5,65.4,PG
7,24,0.85,0.190525589,ug/mL,P,Cattle,IM,5,65.4,PG
7,25,5.26,3.394819583,ug/mL,P,Cattle,IM,5,65.4,PG
7,48,0.43,0.259807621,ug/mL,P,Cattle,IM,5,65.4,PG
7,49,4.15,1.056550993,ug/mL,P,Cattle,IM,5,65.4,PG
7,72,0.3,0.225166605,ug/mL,P,Cattle,IM,5,65.4,PG
7,73,2.32,0.675499815,ug/mL,P,Cattle,IM,5,65.4,PG
7,96,0.84,0.034641016,ug/mL,P,Cattle,IM,5,65.4,PG
7,96.25,1.06,0.103923048,ug/mL,P,Cattle,IM,5,65.4,PG
7,96.5,1.16,0.173205081,ug/mL,P,Cattle,IM,5,65.4,PG
7,97,1.23,0.138564065,ug/mL,P,Cattle,IM,5,65.4,PG
7,98,1.32,0.103923048,ug/mL,P,Cattle,IM,5,65.4,PG
7,100,1.36,0.138564065,ug/mL,P,Cattle,IM,5,65.4,PG
7,102,2.63,0.467653718,ug/mL,P,Cattle,IM,5,65.4,PG
7,104,2.13,0.173205081,ug/mL,P,Cattle,IM,5,65.4,PG
7,106,1.91,0.051961524,ug/mL,P,Cattle,IM,5,65.4,PG
7,108,1.72,0.08660254,ug/mL,P,Cattle,IM,5,65.4,PG
7,120,1.05,0.103923048,ug/mL,P,Cattle,IM,5,65.4,PG
7,132,0.55,0.08660254,ug/mL,P,Cattle,IM,5,65.4,PG
7,144,0.42,0.103923048,ug/mL,P,Cattle,IM,5,65.4,PG
7,168,0.14,0.034641016,ug/mL,P,Cattle,IM,5,65.4,PG
7,0.25,1.78,1.43760217,ug/mL,P,Cattle,IM,1,65.4,PG
7,0.5,2.02,1.333679122,ug/mL,P,Cattle,IM,1,65.4,PG
7,1,2.84,1.160474041,ug/mL,P,Cattle,IM,1,65.4,PG
7,2,3.14,0.935307436,ug/mL,P,Cattle,IM,1,65.4,PG
7,4,3.75,1.35099963,ug/mL,P,Cattle,IM,1,65.4,PG
7,6,4.24,1.870614872,ug/mL,P,Cattle,IM,1,65.4,PG
7,8,4.07,1.974537921,ug/mL,P,Cattle,IM,1,65.4,PG
7,10,3.39,1.905255888,ug/mL,P,Cattle,IM,1,65.4,PG
7,12,3.17,1.697409791,ug/mL,P,Cattle,IM,1,65.4,PG
7,24,0.69,0.225166605,ug/mL,P,Cattle,IM,1,65.4,PG
7,36,0.2,0.138564065,ug/mL,P,Cattle,IM,1,65.4,PG
7,48,0.18,0.121243557,ug/mL,P,Cattle,IM,1,65.4,PG
7,72,0.06,0.08660254,ug/mL,P,Cattle,IM,1,65.4,PG
7,96,0.03,0.051961524,ug/mL,P,Cattle,IM,1,65.4,PG
7,120,0.02,0.034641016,ug/mL,P,Cattle,IM,1,65.4,PG
7,144,0.012,0.207846097,ug/mL,P,Cattle,IM,1,65.4,PG
7,168,0.01,0.017320508,ug/mL,P,Cattle,IM,1,65.4,PG
7,0.25,0.57,0.675499815,ug/mL,P,Cattle,SC,1,65.4,PG
7,0.5,0.84,0.103923048,ug/mL,P,Cattle,SC,1,65.4,PG
7,1,1.22,0.277128129,ug/mL,P,Cattle,SC,1,65.4,PG
7,2,1.55,0.45033321,ug/mL,P,Cattle,SC,1,65.4,PG
7,4,1.6,0.467653718,ug/mL,P,Cattle,SC,1,65.4,PG
7,6,1.75,0.571576766,ug/mL,P,Cattle,SC,1,65.4,PG
7,8,1.61,0.36373067,ug/mL,P,Cattle,SC,1,65.4,PG
7,10,1.56,0.311769145,ug/mL,P,Cattle,SC,1,65.4,PG
7,12,1.64,0.311769145,ug/mL,P,Cattle,SC,1,65.4,PG
7,24,1.21,0.259807621,ug/mL,P,Cattle,SC,1,65.4,PG
7,36,0.72,0.467653718,ug/mL,P,Cattle,SC,1,65.4,PG
7,48,0.38,0.45033321,ug/mL,P,Cattle,SC,1,65.4,PG
7,72,0.12,0.08660254,ug/mL,P,Cattle,SC,1,65.4,PG
7,96,0.05,0.034641016,ug/mL,P,Cattle,SC,1,65.4,PG
7,120,0.03,0.034641016,ug/mL,P,Cattle,SC,1,65.4,PG
7,144,0.02,0.034641016,ug/mL,P,Cattle,SC,1,65.4,PG
7,168,0.02,0.034641016,ug/mL,P,Cattle,SC,1,65.4,PG
8,120,0.43,0.162812776,ug/mL,P,Cattle,IM,5,23.7,PG
8,144,0.21,2.147743001,ug/mL,P,Cattle,IM,5,23.7,PG
8,168,0.017,0.013856406,ug/mL,P,Cattle,IM,5,23.7,PG
8,120,2,0.484974226,ug/mL,L,Cattle,IM,5,23.7,PG
8,144,0.35,0.422620397,ug/mL,L,Cattle,IM,5,23.7,PG
8,168,0.021,0.031176915,ug/mL,L,Cattle,IM,5,23.7,PG
8,192,0.021,0.02078461,ug/mL,L,Cattle,IM,5,23.7,PG
8,120,1.1,1.073871501,ug/mL,K,Cattle,IM,5,23.7,PG
8,144,0.65,0.666839561,ug/mL,K,Cattle,IM,5,23.7,PG
8,168,0.034,0.041569219,ug/mL,K,Cattle,IM,5,23.7,PG
8,192,0.022,0.005196152,ug/mL,K,Cattle,IM,5,23.7,PG
8,120,0.032,0.034641016,ug/mL,M,Cattle,IM,5,23.7,PG
8,144,0.059,0.051961524,ug/mL,M,Cattle,IM,5,23.7,PG
8,120,1.5,0.207846097,ug/mL,P,Cattle,IM,5,65.4,PG
8,144,0.31,0.266735824,ug/mL,P,Cattle,IM,5,65.4,PG
8,168,0.182,0.138105118,ug/mL,P,Cattle,IM,5,65.4,PG
8,120,2.3,0.710140831,ug/mL,L,Cattle,IM,5,65.4,PG
8,144,1.6,0.502294734,ug/mL,L,Cattle,IM,5,65.4,PG
8,168,0.37,0.306572993,ug/mL,L,Cattle,IM,5,65.4,PG
8,192,0.046,0.039837169,ug/mL,L,Cattle,IM,5,65.4,PG
8,288,0.069,0.06408588,ug/mL,L,Cattle,IM,5,65.4,PG
8,336,0.026,0.019052559,ug/mL,L,Cattle,IM,5,65.4,PG
8,480,0.012,0.02078461,ug/mL,L,Cattle,IM,5,65.4,PG
8,120,2.8,0.08487049,ug/mL,K,Cattle,IM,5,65.4,PG
8,144,1,0.588897275,ug/mL,K,Cattle,IM,5,65.4,PG
8,168,0.24,0.190525589,ug/mL,K,Cattle,IM,5,65.4,PG
8,480,0.014,0.024248711,ug/mL,K,Cattle,IM,5,65.4,PG
8,120,0.075,0.032908965,ug/mL,M,Cattle,IM,5,65.4,PG
8,144,0.044,0.027712813,ug/mL,M,Cattle,IM,5,65.4,PG
8,168,0.01,0.015588457,ug/mL,M,Cattle,IM,5,65.4,PG
9,0.03,0.067,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,0.07,0.11,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,0.1,0.23,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,0.17,0.443,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,0.33,0.56,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,0.5,0.66,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,0.75,0.65,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,1,0.65,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,1.5,0.64,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,2,0.528,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,4,0.424,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,6,0.287,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,8,0.387,NA,ug/mL,P,Cattle,SC,1,8.9,PG
9,24,0.037,NA,ug/mL,P,Cattle,SC,1,8.9,PG
10,26.3,0.753131,NA,ug/mL,P,Cattle,IM,3,6.9,PG
10,27.5,0.844858,NA,ug/mL,P,Cattle,IM,3,6.9,PG
10,32,0.433662,0.098338,ug/mL,P,Cattle,IM,3,6.9,PG
10,48,0.102457,0.040543,ug/mL,P,Cattle,IM,3,6.9,PG
10,54,0.03151,0.03049,ug/mL,P,Cattle,IM,3,6.9,PG
10,60,0.015294,0.009706,ug/mL,P,Cattle,IM,3,6.9,PG
10,32,0.889,NA,ug/mL,K,Cattle,IM,3,6.9,PG
10,48,0.169,0.162,ug/mL,K,Cattle,IM,3,6.9,PG
10,54,0.16,0.192,ug/mL,K,Cattle,IM,3,6.9,PG
10,60,0.061,0.046,ug/mL,K,Cattle,IM,3,6.9,PG
10,72,0.01779,0.02121,ug/mL,K,Cattle,IM,3,6.9,PG
11,0.25,0.668,0.242487113,ug/mL,P,Cattle,IM,1,20.8,PG
11,0.5,1.004,0.034641016,ug/mL,P,Cattle,IM,1,20.8,PG
11,0.75,1.2,0.034641016,ug/mL,P,Cattle,IM,1,20.8,PG
11,1,1.33,0.034641016,ug/mL,P,Cattle,IM,1,20.8,PG
11,2,1.38,0.069282032,ug/mL,P,Cattle,IM,1,20.8,PG
11,4,1.21,0.034641016,ug/mL,P,Cattle,IM,1,20.8,PG
11,8,1.002,0.031176915,ug/mL,P,Cattle,IM,1,20.8,PG
4,0.75,0.016,0.005,ug/mL,P,Swine,IM,1,32.5,PG
4,1,0.018,0.004,ug/mL,P,Swine,IM,1,32.5,PG
4,1.5,0.017,0.009,ug/mL,P,Swine,IM,1,32.5,PG
4,2,0.027,0.011,ug/mL,P,Swine,IM,1,32.5,PG
4,2.5,0.041,0.024,ug/mL,P,Swine,IM,1,32.5,PG
4,3,0.056,0.032,ug/mL,P,Swine,IM,1,32.5,PG
4,4,0.074,0.044,ug/mL,P,Swine,IM,1,32.5,PG
4,5,0.088,0.043,ug/mL,P,Swine,IM,1,32.5,PG
4,6,0.086,0.036,ug/mL,P,Swine,IM,1,32.5,PG
4,8,0.095,0.033,ug/mL,P,Swine,IM,1,32.5,PG
4,12,0.091,0.031,ug/mL,P,Swine,IM,1,32.5,PG
4,16,0.083,0.027,ug/mL,P,Swine,IM,1,32.5,PG
4,24,0.072,0.019,ug/mL,P,Swine,IM,1,32.5,PG
4,48,0.747,1.36,ug/mL,M,Swine,IM,1,32.5,PG
4,48,0.065,0.113,ug/mL,L,Swine,IM,1,32.5,PG
4,48,1.167,0.208,ug/mL,K,Swine,IM,1,32.5,PG
4,48,0.084,0.105,ug/mL,F,Swine,IM,1,32.5,PG
4,96,0.090375,0.073941796,ug/mL,M,Swine,IM,1,32.5,PG
4,96,0.03,0.067082039,ug/mL,L,Swine,IM,1,32.5,PG
4,96,0.36832,0.17836651,ug/mL,K,Swine,IM,1,32.5,PG
4,144,0.012733333,0.013008203,ug/mL,M,Swine,IM,1,32.5,PG
4,144,0.3802,0.192048692,ug/mL,K,Swine,IM,1,32.5,PG
4,192,0.017466667,0.017019205,ug/mL,M,Swine,IM,1,32.5,PG
4,192,0.02938,0.040714027,ug/mL,L,Swine,IM,1,32.5,PG
4,192,0.09725,0.125452182,ug/mL,K,Swine,IM,1,32.5,PG
5,120,0.0235,0.0105,ug/mL,M,Swine,IM,3,32.5,PG
5,240,0.0053,0.0061,ug/mL,M,Swine,IM,3,32.5,PG
5,240,0.667,0.875,ug/mL,K,Swine,IM,3,32.5,PG
5,360,0.119,0.199,ug/mL,K,Swine,IM,3,32.5,PG
5,480,0.0445,0.103,ug/mL,K,Swine,IM,3,32.5,PG
5,600,0.014,0.036,ug/mL,K,Swine,IM,3,32.5,PG
5,768,0.015,0.041,ug/mL,K,Swine,IM,3,32.5,PG
5,936,0.003,0.0062,ug/mL,K,Swine,IM,3,32.5,PG
5,120,0.44,0.14,ug/mL,P,Swine,IM,3,32.5,PG
5,240,0.0878,0.129,ug/mL,P,Swine,IM,3,32.5,PG
5,360,0.0116,0.0143,ug/mL,P,Swine,IM,3,32.5,PG
5,480,0.0043,0.0146,ug/mL,P,Swine,IM,3,32.5,PG
5,600,0.0015,0.0032,ug/mL,P,Swine,IM,3,32.5,PG
5,768,0.0012,0.00174,ug/mL,P,Swine,IM,3,32.5,PG
5,936,0.001,0.0008,ug/mL,P,Swine,IM,3,32.5,PG
6,24,0.180166667,0.062502667,ug/mL,P,Swine,IM,3,6.5,PG
6,72,0.055890909,0.039829498,ug/mL,P,Swine,IM,3,6.5,PG
6,144,0.0268,0.017943615,ug/mL,P,Swine,IM,3,6.5,PG
6,24,0.663475,0.148623963,ug/mL,P,Swine,IM,3,32.5,PG
6,72,0.355741667,0.167100011,ug/mL,P,Swine,IM,3,32.5,PG
6,144,0.153175,0.088404652,ug/mL,P,Swine,IM,3,32.5,PG
6,336,0.053,0.03993645,ug/mL,P,Swine,IM,3,32.5,PG
6,24,0.195475,0.322531129,ug/mL,K,Swine,IM,3,32.5,PG
6,144,0.0406,0.03436539,ug/mL,K,Swine,IM,3,32.5,PG
6,24,0.0671,,ug/mL,L,Swine,IM,3,32.5,PG
6,24,0.0862,0.025154456,ug/mL,M,Swine,IM,3,32.5,PG
6,144,0.0209,0.001652271,ug/mL,M,Swine,IM,3,32.5,PG
6,336,0.0066,0.000282843,ug/mL,M,Swine,IM,3,32.5,PG
6,24,0.02405,0.010818734,ug/mL,K,Swine,IM,3,6.5,PG
6,24,0.014933333,0.001069268,ug/mL,M,Swine,IM,3,6.5,PG
